S.No.,"Code
No.",Course Name,Credits,Faculty Name(s)
113.,SC1.205,Statistical Mechanics (H2),3-1-0-2,Bhaswar Gosh
114.,CS7.403,Statistical Methods in AI,3-1-0-4,Vineet Gandhi
115.,CS8.403,System and Network Security,3-1-0-4,Ankit Gangwal
116.,CS9.424,Technology Product Entrepreneurship,3-1-0-4,Ramesh Loganathan + Prakash Yalla
117.,SC1.308,The Universe Across Scales,3-1-0-4,Subhadip Mitra+ChittaranjanHens+Diganta Das
118.,SC1.204,Thermodynamics (H1),3-1-0-2,Harjinder Singh
119.,HS0.201,"Thinking and Knowing in the
Human Sciences-I",3-1-0-4,Saurabh Todariya + Nazia Akhtar
120.,HS0.206,"Thinking through moral problems
(H1)",3-0-0-2,Ashwin Jayanti
121.,EC5.402,Time Frequency Analysis,3-1-0-4,Anil Kumar V + Chiranjeevi Yerra
122.,CS1.307,Toolkit for Theoretical Computer Science,3-1-0-2,Girish Varma
123.,CS7.602,Topics in Deep Learning,3-1-0-4,Charu Sharma
124.,CS8.502,Topics in Information-Theoretic Privacy,3-1-0-4,Prasad Krishnan + Gowtham Kurri
125.,CS7.603,Topics in Reinforcement Learning,3-1-0-4,Tejas Bodas + Harikumar K
126.,CS6.502,Topics in Software Foundations,3-1-0-4,Venkatesh Choppella
127.,CL5.401,Topics in SSMT,3-1-0-4,Anil Kumar V + Chiranjeevi Yerra
128.,HS4.202,"Understanding Political Theory
(H1)",3-1-0-2,Aakansha Natani
129.,CS5.401,"User Interaction and Usability of
Digital Products (Open Elective)",3-1-0-4,"Raman Saxena + Nimmi
Rangaswamy"
130.,OC3.102,Value Education II (H),0-2-0-2,Shatrunjay Rawat (Coordinator)
131.,HS0.211,"Values, Ethics and AI (H2)",3-0-0-2,Shatrunjay Rawat + Rajeev Sangal
